Local Time, Location, Latitude, Longitude, st1, st2, st3, st4, st5, st6, Ozone (Dobson), Cloud Coverage (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-10 18:23:49, Herzliya, 32.1592, 34.8071, 330, 396, 529, 661, 1057, 1982, 290.8, 2, 516, 87, 234, 15.3°
2018-06-10 16:23:53, Dakar, 14.7167, 17.4677, 112, 134, 178, 223, 357, 669, 282.2, 3, 740, 99, 435, 57.1°
2018-06-10 16:23:57, Conakry, 9.6412, 13.5784, 93, 111, 149, 186, 297, 557, 278.4, 2, 680, 120, 450, 51.7°
2018-06-10 18:24:00, Nairobi, -1.2921, 36.8219, 5726, 6872, 9162, 11453, 18324, 34358, 257.8, 7, 134, 21, 43, 1.6°
2018-06-10 16:24:04, Oran, 35.6971, -0.6308, 39, 47, 63, 78, 126, 235, 327.5, 1, 840, 135, 734, 44.7°
2018-06-10 17:24:08, Valencia, 39.4699, -0.3763, 38, 45, 60, 75, 120, 225, 315.3, 14, 538, 252, 635, 44.2°
2018-06-10 17:24:12, Bordeaux, 44.8378, -0.5792, 41, 49, 65, 82, 131, 245, 326.9, 17, 466, 274, 599, 43.6°
2018-06-10 17:24:15, Paris, 48.8566, 2.3522, 50, 60, 80, 100, 159, 299, 340.8, 26, 244, 335, 495, 40.8°
2018-06-10 16:24:19, London, 51.8074, -0.1278, 51, 61, 82, 102, 164, 307, 364.1, 6, 758, 155, 662, 41.7°
2018-06-10 16:24:23, Tunis, 33.8869, 9.5375, 57, 68, 91, 114, 182, 341, 315.2, 7, 826, 115, 620, 35.9°
2018-06-10 17:24:27, Vatican, 41.9029, 12.4534, 77, 92, 123, 154, 247, 462, 370.9, 2, 788, 114, 572, 34.4°
2018-06-10 17:24:32, Venice, 45.4408, 12.3155, 70, 84, 112, 140, 223, 419, 339.3, 1, 782, 117, 566, 34.4°
2018-06-10 17:24:37, Milan, 45.4642, 9.1901, 65, 78, 104, 130, 207, 389, 353.5, 1, 794, 121, 600, 36.6°
2018-06-10 17:24:41, Hamburg, 53.5511, 9.9937, 64, 76, 102, 127, 204, 382, 329.8, 33, 126, 314, 388, 35.2°
2018-06-10 17:24:45, Tirana, 41.3275, 19.8187, 107, 129, 172, 215, 344, 644, 343.9, 19, 318, 224, 383, 28.8°
2018-06-10 17:24:49, Belgrade, 44.7866, 20.4489, 102, 123, 164, 205, 327, 614, 328.3, 33, 119, 251, 309, 28.6°
2018-06-10 17:24:54, Budapest, 47.4979, 19.0402, 95, 114, 152, 190, 304, 569, 327.7, 63, 6, 174, 178, 29.8°
2018-06-10 17:24:57, Warsaw, 52.2297, 21.0122, 106, 127, 170, 212, 339, 636, 338.5, 14, 431, 191, 400, 28.7°
2018-06-10 17:25:01, Alexandria, 31.2001, 29.9187, 229, 275, 366, 458, 733, 1374, 289.1, 1, 607, 95, 307, 18.7°
2018-06-10 18:25:05, Istanbul, 41.0082, 28.9784, 181, 217, 289, 362, 579, 1085, 313.3, 22, 228, 185, 275, 21.9°
2018-06-10 18:25:09, Odesa, 46.4825, 30.7233, 200, 240, 320, 400, 639, 1199, 346.1, 61, 7, 133, 135, 21.7°
2018-06-10 18:25:12, Kiev, 50.4501, 30.5234, 179, 215, 286, 358, 573, 1074, 341.1, 37, 710, 89, 367, 22.6°
2018-06-10 18:25:15, St.Peterburg, 59.9343, 30.3351, 181, 217, 289, 362, 579, 1085, 381.2, 19, 336, 175, 312, 23.9°
