Local Time, Location, Latitude, Longitude, S.T1, S.T2, S.T3, S.T4, S.T5, S.T6, UV index, Ozone (Dobson), Cloud Coverage (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-18 10:47:04, Herzliya, 32.1592, 34.8071, 18, 22, 29, 36, 58, 109, 9.1364, 293, 5, 798, 190, 904, 63.14
2018-06-18 08:47:07, Dakar, 14.7167, 17.4677, 31, 37, 50, 62, 100, 187, 5.3578, 279.1, 11, 602, 221, 652, 45.72
2018-06-18 08:47:09, Conakry, 9.6412, 13.5784, 38, 45, 60, 76, 121, 227, 4.4083, 268.8, 7, 693, 161, 607, 40.37
2018-06-18 10:47:11, Nairobi, -1.2921, 36.8219, 19, 23, 31, 39, 62, 116, 8.6035, 251.3, 71, 2, 259, 261, 54.11
2018-06-18 08:47:13, Oran, 35.6971, -0.6308, 71, 85, 113, 141, 226, 423, 2.364, 322.3, 8, 826, 101, 567, 33.77
2018-06-18 09:47:15, Valencia, 39.4699, -0.3763, 67, 80, 107, 133, 213, 400, 2.4997, 325, 0, 845, 98, 576, 34.3
2018-06-18 09:47:18, Bordeaux, 44.8378, -0.5792, 72, 86, 115, 144, 230, 432, 2.3156, 348.4, 62, 6, 210, 213, 34.32
2018-06-18 09:47:20, Paris, 48.8566, 2.3522, 62, 75, 99, 124, 199, 373, 2.6837, 340.1, 60, 9, 236, 241, 36.15
2018-06-18 08:47:22, London, 51.8074, -0.1278, 72, 86, 115, 143, 229, 430, 2.3253, 347.2, 31, 184, 291, 394, 34.31
2018-06-18 08:47:24, Tunis, 33.8869, 9.5375, 42, 51, 68, 85, 135, 254, 3.9433, 321.6, 0, 840, 117, 680, 42.01
2018-06-18 09:47:26, Vatican, 41.9029, 12.4534, 42, 51, 67, 84, 135, 253, 3.9529, 334.7, 4, 857, 119, 717, 43.97
2018-06-18 09:47:28, Venice, 45.4408, 12.3155, 44, 53, 70, 88, 140, 263, 3.7979, 346.6, 74, 1, 181, 182, 43.35
2018-06-18 09:47:31, Milan, 45.4642, 9.1901, 50, 59, 79, 99, 159, 297, 3.3619, 353.8, 3, 848, 114, 675, 41.18
2018-06-18 09:47:33, Hamburg, 53.5511, 9.9937, 50, 60, 80, 101, 161, 302, 3.3135, 342.3, 1, 822, 119, 653, 40.07
2018-06-18 09:47:35, Tirana, 41.3275, 19.8187, 33, 40, 53, 66, 106, 198, 5.0381, 338.2, 1, 846, 137, 784, 49.53
2018-06-18 09:47:38, Belgrade, 44.7866, 20.4489, 33, 39, 52, 65, 105, 196, 5.0962, 335.2, 9, 682, 203, 722, 49.1
2018-06-18 09:47:40, Budapest, 47.4979, 19.0402, 37, 44, 59, 74, 118, 221, 4.5149, 347, 41, 63, 398, 444, 47.35
2018-06-18 09:47:42, Warsaw, 52.2297, 21.0122, 37, 45, 60, 75, 120, 225, 4.4471, 339.8, 7, 862, 125, 755, 46.77
2018-06-18 09:47:44, Alexandria, 31.2001, 29.9187, 20, 24, 32, 39, 63, 118, 8.4485, 288.4, 0, 884, 144, 903, 59.32
2018-06-18 10:47:47, Istanbul, 41.0082, 28.9784, 24, 29, 38, 48, 77, 144, 6.937, 316.2, 20, 411, 359, 702, 56.26
2018-06-18 10:47:48, Odesa, 46.4825, 30.7233, 25, 29, 39, 49, 78, 147, 6.8014, 313.2, 10, 883, 136, 862, 55.05
2018-06-18 10:47:50, Kiev, 50.4501, 30.5234, 29, 35, 47, 59, 94, 176, 5.6775, 335.5, 12, 870, 136, 831, 52.83
2018-06-18 10:47:51, St.Peterburg, 59.9343, 30.3351, 38, 46, 62, 77, 123, 231, 4.3308, 347.7, 6, 718, 178, 705, 46.8
