Local Time, Location, Latitude, Longitude, S.T1, S.T2, S.T3, S.T4, S.T5, S.T6, UV Index, Ozone (Dobson), Cloud Coverage (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-20 11:38:19, Herzliya, 32.1592, 34.8071, 16, 19, 25, 32, 51, 95, 10.5193, 303.2, 0, 909, 157, 1034, 73.32
2018-06-20 09:38:21, Dakar, 14.7167, 17.4677, 20, 24, 32, 40, 64, 119, 8.3689, 277.3, 17, 481, 334, 743, 57.3
2018-06-20 09:38:23, Conakry, 9.6412, 13.5784, 26, 31, 42, 52, 84, 157, 6.3542, 296.3, 20, 377, 360, 663, 51.8
2018-06-20 11:38:25, Nairobi, -1.2921, 36.8219, 19, 23, 31, 39, 62, 116, 8.6111, 296.3, 19, 472, 370, 788, 61.74
2018-06-20 09:38:27, Oran, 35.6971, -0.6308, 37, 45, 59, 74, 119, 223, 4.4847, 312.5, 1, 858, 126, 748, 44.08
2018-06-20 10:38:29, Valencia, 39.4699, -0.3763, 35, 42, 56, 70, 112, 210, 4.7656, 296.3, 0, 893, 115, 758, 44.11
2018-06-20 10:38:31, Bordeaux, 44.8378, -0.5792, 37, 44, 59, 73, 117, 220, 4.5525, 296.3, 2, 873, 117, 736, 43.3
2018-06-20 10:38:33, Paris, 48.8566, 2.3522, 39, 47, 62, 78, 124, 233, 4.3007, 323.5, 3, 869, 120, 750, 44.37
2018-06-20 09:38:35, London, 51.8074, -0.1278, 44, 52, 70, 87, 140, 262, 3.8164, 330, 42, 63, 372, 416, 42.04
2018-06-20 09:38:37, Tunis, 33.8869, 9.5375, 31, 37, 49, 61, 98, 184, 5.434, 348.3, 1, 872, 137, 847, 52.55
2018-06-20 10:38:39, Vatican, 41.9029, 12.4534, 28, 34, 45, 57, 90, 170, 5.8989, 334.4, 5, 882, 135, 856, 53.21
2018-06-20 10:38:41, Venice, 45.4408, 12.3155, 29, 35, 47, 58, 93, 175, 5.7246, 323.1, 2, 877, 135, 839, 51.91
2018-06-20 10:38:42, Milan, 45.4642, 9.1901, 31, 37, 49, 62, 99, 185, 5.3952, 319.6, 25, 297, 379, 612, 49.86
2018-06-20 10:38:44, Hamburg, 53.5511, 9.9937, 31, 38, 50, 63, 100, 188, 5.3178, 302.4, 27, 222, 391, 559, 47.08
2018-06-20 10:38:46, Tirana, 41.3275, 19.8187, 24, 29, 39, 48, 77, 144, 6.9257, 332.8, 5, 795, 185, 877, 58.57
2018-06-20 10:38:48, Belgrade, 44.7866, 20.4489, 25, 29, 39, 49, 79, 147, 6.7804, 330.8, 6, 893, 140, 905, 57.36
2018-06-20 10:38:51, Budapest, 47.4979, 19.0402, 26, 31, 41, 52, 83, 155, 6.451, 327.4, 6, 885, 138, 878, 55.11
2018-06-20 10:38:53, Warsaw, 52.2297, 21.0122, 24, 29, 39, 49, 78, 147, 6.8191, 296.3, 3, 815, 162, 825, 53.34
2018-06-20 10:38:55, Alexandria, 31.2001, 29.9187, 16, 20, 26, 33, 52, 98, 10.1609, 296.3, 1, 900, 156, 1009, 69.95
2018-06-20 11:38:57, Istanbul, 41.0082, 28.9784, 18, 22, 29, 36, 58, 108, 9.2213, 296.3, 4, 816, 185, 933, 64.67
2018-06-20 11:38:59, Odesa, 46.4825, 30.7233, 22, 26, 34, 43, 69, 129, 7.749, 323.1, 2, 869, 156, 932, 61.88
2018-06-20 11:39:01, Kiev, 50.4501, 30.5234, 23, 27, 36, 45, 73, 136, 7.3519, 316, 5, 882, 146, 905, 58.74
2018-06-20 11:39:03, St.Peterburg, 59.9343, 30.3351, 31, 37, 49, 61, 98, 183, 5.463, 326.9, 8, 725, 194, 761, 50.81
