Local Time, Location, Latitude, Longitude, S.T1, S.T2, S.T3, S.T4, S.T5, S.T6, UV Index, Ozone (Dobson), Cloud Coverage (%), Precipitation, DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-21 15:51:22, Herzliya, 32.1592, 34.8071, 31, 37, 50, 62, 99, 186, 5.3753, 299.3, 2, 0 %, 850, 134, 769, 47.78
2018-06-21 13:51:26, Dakar, 14.7167, 17.4677, 18, 22, 29, 36, 58, 109, 9.2106, 274.2, 21, 0 %, 882, 149, 925, 60.62
2018-06-21 13:51:30, Conakry, 9.6412, 13.5784, 18, 21, 28, 35, 56, 106, 9.4528, 274.8, 34, 95 %, 121, 503, 611, 61.69
2018-06-21 15:51:33, Nairobi, -1.2921, 36.8219, 44, 52, 70, 87, 139, 261, 3.8257, 250.8, 19, 87 %, 449, 248, 522, 36.24
2018-06-21 13:51:36, Oran, 35.6971, -0.6308, 17, 20, 27, 33, 53, 100, 9.9758, 320.5, 5, 0 %, 826, 198, 989, 74.09
2018-06-21 14:51:40, Valencia, 39.4699, -0.3763, 17, 21, 27, 34, 55, 103, 9.7046, 316.8, 0, 0 %, 930, 148, 1024, 71.03
2018-06-21 14:51:43, Bordeaux, 44.8378, -0.5792, 19, 22, 30, 37, 60, 112, 8.9491, 314.7, 14, 69 %, 578, 312, 840, 66.54
2018-06-21 14:51:48, Paris, 48.8566, 2.3522, 21, 25, 34, 42, 67, 127, 7.9031, 324.8, 10, 71 %, 913, 140, 946, 62.05
2018-06-21 13:51:52, London, 51.8074, -0.1278, 22, 27, 36, 45, 72, 134, 7.4382, 327.9, 19, None, 469, 355, 761, 60.11
2018-06-21 13:51:55, Tunis, 33.8869, 9.5375, 21, 25, 33, 41, 66, 124, 8.0968, 352.3, 2, 0 %, 902, 154, 993, 68.16
2018-06-21 14:51:58, Vatican, 41.9029, 12.4534, 22, 27, 36, 45, 72, 134, 7.4576, 340.7, 23, 0 %, 893, 146, 933, 62.27
2018-06-21 14:52:02, Venice, 45.4408, 12.3155, 22, 26, 35, 44, 71, 132, 7.5545, 323.1, 6, 0 %, 886, 146, 913, 60.23
2018-06-21 14:52:05, Milan, 45.4642, 9.1901, 22, 27, 35, 44, 71, 133, 7.5448, 330.9, 9, 0 %, 890, 147, 932, 61.85
2018-06-21 14:52:09, Hamburg, 53.5511, 9.9937, 23, 28, 38, 47, 75, 141, 7.0993, 302.4, 41, 90 %, 65, 458, 511, 55.46
2018-06-21 14:52:13, Tirana, 41.3275, 19.8187, 25, 30, 40, 50, 81, 151, 6.6053, 337.3, 8, 74 %, 713, 219, 824, 57.67
2018-06-21 14:52:17, Belgrade, 44.7866, 20.4489, 26, 31, 41, 51, 82, 154, 6.4988, 325.1, 45, 0 %, 45, 438, 475, 55.75
2018-06-21 14:52:20, Budapest, 47.4979, 19.0402, 25, 30, 39, 49, 79, 148, 6.7796, 314.1, 7, 0 %, 735, 200, 803, 55.23
2018-06-21 14:52:24, Warsaw, 52.2297, 21.0122, 28, 34, 45, 56, 89, 168, 5.9661, 312.6, 8, 0 %, 694, 206, 746, 51.52
2018-06-21 14:52:28, Alexandria, 31.2001, 29.9187, 27, 33, 43, 54, 87, 163, 6.1307, 305, 4, 0 %, 865, 139, 826, 51.7
2018-06-21 15:52:35, Istanbul, 41.0082, 28.9784, 31, 37, 49, 61, 98, 183, 5.4625, 336.8, 6, 0 %, 721, 195, 759, 51.18
2018-06-21 15:52:38, Odesa, 46.4825, 30.7233, 31, 37, 50, 62, 99, 186, 5.3656, 310.2, 8, 0 %, 693, 196, 713, 48.43
2018-06-21 15:52:42, Kiev, 50.4501, 30.5234, 32, 38, 51, 63, 102, 190, 5.2494, 305.5, 5, 0 %, 869, 126, 761, 47.15
2018-06-21 15:52:46, St.Peterburg, 59.9343, 30.3351, 47, 56, 75, 94, 150, 281, 3.5545, 351.7, 67, 0 %, 3, 229, 231, 42.89
