Local Time, Location, Latitude, Longitude, S.T1, S.T2, S.T3, S.T4, S.T5, S.T6, UV Index, Ozone (Dobson), Cloud Coverage (%), Precipitation (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-23 16:08:44, Herzliya, 32.1592, 34.8071, 35, 42, 56, 70, 111, 209, 4.7836, 295.2, 3, ['0', '%'], 829, 123, 678, 44.19
2018-06-23 14:08:49, Dakar, 14.7167, 17.4677, 21, 25, 33, 42, 67, 125, 7.9888, 281.7, 13, ['0', '%'], 870, 141, 853, 56.8
2018-06-23 14:08:52, Conakry, 9.6412, 13.5784, 19, 23, 30, 38, 60, 113, 8.8506, 271.8, 2, ['91', '%'], 836, 158, 855, 58.11
2018-06-23 16:08:56, Nairobi, -1.2921, 36.8219, 57, 68, 91, 114, 182, 341, 2.9341, 251.4, 41, ['0', '%'], 71, 273, 310, 32.57
2018-06-23 14:08:59, Oran, 35.6971, -0.6308, 18, 21, 28, 35, 56, 105, 9.5188, 321.7, 3, ['0', '%'], 859, 176, 977, 71.53
2018-06-23 15:09:05, Valencia, 39.4699, -0.3763, 18, 22, 29, 37, 59, 110, 9.1121, 319, 0, ['0', '%'], 918, 146, 989, 68.89
2018-06-23 15:09:08, Bordeaux, 44.8378, -0.5792, 20, 24, 32, 40, 64, 121, 8.2987, 323.2, 0, ['0', '%'], 930, 138, 966, 64.92
2018-06-23 15:09:12, Paris, 48.8566, 2.3522, 22, 26, 35, 44, 70, 132, 7.5724, 322.7, 1, ['0', '%'], 881, 146, 901, 60.49
2018-06-23 14:09:15, London, 51.8074, -0.1278, 23, 28, 37, 47, 75, 140, 7.156, 323.8, 7, None, 763, 199, 844, 58.92
2018-06-23 14:09:17, Tunis, 33.8869, 9.5375, 21, 25, 34, 42, 67, 126, 7.9114, 336.6, 1, ['0', '%'], 888, 148, 942, 64.85
2018-06-23 15:09:21, Vatican, 41.9029, 12.4534, 21, 26, 34, 43, 69, 128, 7.7855, 308.2, 54, ['0', '%'], 20, 381, 398, 59.57
2018-06-23 15:09:25, Venice, 45.4408, 12.3155, 26, 32, 42, 53, 84, 158, 6.3136, 350.6, 1, ['0', '%'], 885, 140, 871, 57.82
2018-06-23 15:09:28, Milan, 45.4642, 9.1901, 23, 28, 37, 46, 74, 139, 7.2141, 328.7, 2, ['0', '%'], 859, 154, 881, 59.59
2018-06-23 15:09:32, Hamburg, 53.5511, 9.9937, 34, 41, 54, 68, 109, 204, 4.9095, 390.7, 69, ['31', '%'], 3, 252, 254, 53.79
2018-06-23 15:09:35, Tirana, 41.3275, 19.8187, 27, 32, 43, 53, 85, 160, 6.2458, 327.9, 15, ['94', '%'], 526, 290, 708, 54.7
2018-06-23 15:09:39, Belgrade, 44.7866, 20.4489, 26, 32, 42, 53, 85, 159, 6.2942, 316.7, 32, ['0', '%'], 183, 418, 561, 53.03
2018-06-23 15:09:42, Budapest, 47.4979, 19.0402, 27, 33, 44, 55, 88, 165, 6.0618, 317.7, 12, ['0', '%'], 618, 242, 720, 52.75
2018-06-23 15:09:46, Warsaw, 52.2297, 21.0122, 34, 41, 55, 69, 110, 206, 4.8514, 349.6, 56, ['32', '%'], 13, 326, 336, 49.33
2018-06-23 15:09:50, Alexandria, 31.2001, 29.9187, 30, 35, 47, 59, 94, 177, 5.6454, 297.2, 2, ['0', '%'], 852, 129, 745, 48.09
2018-06-23 16:09:53, Istanbul, 41.0082, 28.9784, 33, 40, 53, 67, 107, 200, 4.9966, 329.9, 52, ['30', '%'], 19, 339, 352, 48.06
2018-06-23 16:09:57, Odesa, 46.4825, 30.7233, 37, 44, 59, 73, 117, 220, 4.5415, 321.6, 32, ['76', '%'], 140, 377, 474, 45.64
2018-06-23 16:10:01, Kiev, 50.4501, 30.5234, 37, 44, 59, 74, 118, 222, 4.5028, 311.7, 67, ['55', '%'], 3, 227, 229, 44.62
2018-06-23 16:10:04, St.Peterburg, 59.9343, 30.3351, 45, 54, 71, 89, 143, 268, 3.7378, 322.1, 30, ['0', '%'], 184, 339, 456, 41.04
