Local Time, Location, Latitude, Longitude, S.T1, S.T2, S.T3, S.T4, S.T5, S.T6, UV Index, Ozone (Dobson), Cloud Coverage (%), Precipitation (%), DNI (W/m^2), DHI (W/m^2), GHI (W/m^2), Sun Altitude (Degree)
2018-06-24 11:11:29, Herzliya, 32.1592, 34.8071, 17, 20, 27, 34, 54, 102, 9.8376, 295.2, 1, 0, 903, 152, 996, 67.88
2018-06-24 09:11:33, Dakar, 14.7167, 17.4677, 25, 30, 39, 49, 79, 148, 6.7682, 281.7, 11, 0, 846, 141, 807, 51.01
2018-06-24 09:11:37, Conakry, 9.6412, 13.5784, 30, 36, 48, 60, 96, 180, 5.5482, 271.8, 19, 68, 419, 302, 608, 45.62
2018-06-24 11:11:40, Nairobi, -1.2921, 36.8219, 17, 21, 27, 34, 55, 103, 9.7117, 245.5, 32, 0, 191, 477, 640, 57.95
2018-06-24 09:11:44, Oran, 35.6971, -0.6308, 49, 58, 78, 97, 156, 292, 3.4277, 303.7, 2, 0, 827, 117, 647, 38.48
2018-06-24 10:11:46, Valencia, 39.4699, -0.3763, 53, 63, 84, 105, 168, 316, 3.1662, 325.6, 1, 0, 826, 118, 651, 38.78
2018-06-24 10:11:50, Bordeaux, 44.8378, -0.5792, 53, 63, 84, 105, 168, 316, 3.1662, 325.7, 1, 0, 824, 118, 644, 38.44
2018-06-24 10:11:53, Paris, 48.8566, 2.3522, 49, 59, 79, 99, 158, 296, 3.3792, 322.7, 17, 0, 469, 251, 563, 39.95
2018-06-24 09:11:56, London, 51.8074, -0.1278, 56, 68, 90, 113, 181, 339, 2.9532, 328.8, 9, None, 655, 174, 586, 37.89
2018-06-24 09:11:58, Tunis, 33.8869, 9.5375, 37, 45, 59, 74, 119, 223, 4.4928, 336.6, 2, 0, 800, 146, 741, 46.84
2018-06-24 10:12:02, Vatican, 41.9029, 12.4534, 35, 42, 56, 70, 111, 209, 4.7929, 341.3, 2, 0, 847, 136, 780, 48.26
2018-06-24 10:12:05, Venice, 45.4408, 12.3155, 37, 45, 59, 74, 119, 223, 4.4831, 349.6, 13, 0, 584, 240, 678, 47.34
2018-06-24 10:12:09, Milan, 45.4642, 9.1901, 38, 45, 60, 75, 121, 226, 4.425, 328.7, 17, 0, 462, 284, 620, 45.22
2018-06-24 10:12:12, Hamburg, 53.5511, 9.9937, 46, 55, 73, 91, 146, 274, 3.6504, 358.8, 52, 96, 22, 327, 343, 43.37
2018-06-24 10:12:16, Tirana, 41.3275, 19.8187, 27, 32, 43, 54, 86, 162, 6.1775, 321.3, 4, 0, 820, 163, 834, 53.77
2018-06-24 10:12:21, Belgrade, 44.7866, 20.4489, 29, 34, 46, 57, 92, 172, 5.8096, 338, 6, 0, 894, 130, 858, 53.02
2018-06-24 10:12:24, Budapest, 47.4979, 19.0402, 34, 41, 55, 68, 109, 205, 4.8897, 369, 13, 0, 602, 250, 726, 51.05
2018-06-24 10:12:28, Warsaw, 52.2297, 21.0122, 39, 47, 63, 78, 125, 235, 4.2604, 390.5, 78, 96, 1, 181, 182, 49.94
2018-06-24 10:12:31, Alexandria, 31.2001, 29.9187, 18, 21, 29, 36, 57, 107, 9.3341, 293.8, 0, 0, 896, 149, 963, 64.29
2018-06-24 11:12:38, Istanbul, 41.0082, 28.9784, 23, 27, 36, 45, 72, 136, 7.3782, 329.5, 49, 0, 26, 440, 463, 60.32
2018-06-24 11:12:41, Odesa, 46.4825, 30.7233, 23, 28, 37, 46, 74, 139, 7.2039, 321.6, 3, 0, 901, 137, 916, 58.44
2018-06-24 11:12:45, Kiev, 50.4501, 30.5234, 24, 29, 39, 49, 78, 146, 6.8553, 311.7, 34, 0, 146, 460, 581, 55.79
2018-06-24 11:12:48, St.Peterburg, 59.9343, 30.3351, 33, 39, 52, 65, 105, 196, 5.0931, 324.2, 66, 0, 4, 263, 266, 48.85
